Sample 1: No. iterations = 306, Error = 0.000241932
Sample 2: No. iterations = 251, Error = 0.000440963
Sample 3: No. iterations = 160, Error = 0.000249267
Sample 4: No. iterations = 204, Error = 0.000938697
Sample 5: No. iterations = 296, Error = 0.000887628
Sample 6: No. iterations = 260, Error = 0.000974213
Sample 7: No. iterations = 313, Error = 0.000320186
Sample 8: No. iterations = 550, Error = 0.499859
Sample 9: No. iterations = 263, Error = 0.00015687
Sample 10: No. iterations = 321, Error = 0.000119748
Sample 11: No. iterations = 469, Error = 2.41261e-05
Sample 12: No. iterations = 437, Error = 0.000175571
Sample 13: No. iterations = 275, Error = 0.000397554
Sample 14: No. iterations = 532, Error = 0.000774263
Sample 15: No. iterations = 162, Error = 0.000741788
Sample 16: No. iterations = 550, Error = 0.170006
Sample 17: No. iterations = 519, Error = 0.00013257
Sample 18: No. iterations = 517, Error = 0.000938737
Sample 19: No. iterations = 412, Error = 0.000190702
Sample 20: No. iterations = 408, Error = 7.36549e-05
Sample 21: No. iterations = 268, Error = 0.000809426
Sample 22: No. iterations = 364, Error = 0.00042778
Sample 23: No. iterations = 102, Error = 0.00074919
Sample 24: No. iterations = 360, Error = 7.32692e-05
Sample 25: No. iterations = 57, Error = 0.000537214
Sample 26: No. iterations = 394, Error = 1.57454e-05
Sample 27: No. iterations = 222, Error = 0.000622387
Sample 28: No. iterations = 550, Error = 0.0342286
Sample 29: No. iterations = 144, Error = 0.000720485
Sample 30: No. iterations = 485, Error = 2.99921e-05
Sample 31: No. iterations = 196, Error = 0.000294237
Sample 32: No. iterations = 550, Error = 0.0217967
Sample 33: No. iterations = 127, Error = 0.000848239
Sample 34: No. iterations = 252, Error = 0.000725394
Sample 35: No. iterations = 550, Error = 0.402123
Sample 36: No. iterations = 502, Error = 7.73027e-05
Sample 37: No. iterations = 101, Error = 0.000292331
Sample 38: No. iterations = 200, Error = 0.00090098
Sample 39: No. iterations = 395, Error = 0.000511643
Sample 40: No. iterations = 140, Error = 0.000566973
Sample 41: No. iterations = 173, Error = 0.000389408
Sample 42: No. iterations = 445, Error = 0.000114358
Sample 43: No. iterations = 141, Error = 0.00063045
Sample 44: No. iterations = 203, Error = 2.66625e-06
Sample 45: No. iterations = 280, Error = 0.000936609
Sample 46: No. iterations = 116, Error = 0.000852698
Sample 47: No. iterations = 408, Error = 0.000699515
Sample 48: No. iterations = 262, Error = 0.000694568
Sample 49: No. iterations = 374, Error = 0.000745934
Sample 50: No. iterations = 194, Error = 0.000798655
Sample 51: No. iterations = 62, Error = 0.000947153
Sample 52: No. iterations = 217, Error = 0.000316969
Sample 53: No. iterations = 439, Error = 0.000741654
Sample 54: No. iterations = 550, Error = 0.498464
Sample 55: No. iterations = 120, Error = 0.000495453
Sample 56: No. iterations = 333, Error = 4.19946e-05
Sample 57: No. iterations = 170, Error = 0.000851133
Sample 58: No. iterations = 56, Error = 0.000347667
Sample 59: No. iterations = 550, Error = 0.497199
Sample 60: No. iterations = 321, Error = 0.000814768
Sample 61: No. iterations = 176, Error = 6.48768e-05
Sample 62: No. iterations = 104, Error = 0.000792445
Sample 63: No. iterations = 125, Error = 0.000983553
Sample 64: No. iterations = 87, Error = 0.000998371
Sample 65: No. iterations = 170, Error = 0.000773431
Sample 66: No. iterations = 138, Error = 0.000602273
Sample 67: No. iterations = 291, Error = 0.000271132
Sample 68: No. iterations = 117, Error = 0.000378103
Sample 69: No. iterations = 258, Error = 0.000134815
Sample 70: No. iterations = 38, Error = 8.44781e-05
Sample 71: No. iterations = 80, Error = 0.000791409
Sample 72: No. iterations = 300, Error = 2.53783e-05
Sample 73: No. iterations = 30, Error = 8.04192e-05
Sample 74: No. iterations = 58, Error = 0.000376903
Sample 75: No. iterations = 195, Error = 0.000468572
Sample 76: No. iterations = 36, Error = 0.000841996
Sample 77: No. iterations = 420, Error = 0.000844485
Sample 78: No. iterations = 151, Error = 0.000995672
Sample 79: No. iterations = 93, Error = 4.44394e-05
Sample 80: No. iterations = 33, Error = 0.000626177
Sample 81: No. iterations = 550, Error = 0.565486
Sample 82: No. iterations = 306, Error = 0.000414279
Sample 83: No. iterations = 110, Error = 0.000169054
Sample 84: No. iterations = 224, Error = 0.000307271
Sample 85: No. iterations = 144, Error = 0.000260616
Sample 86: No. iterations = 226, Error = 0.000509131
Sample 87: No. iterations = 319, Error = 5.15762e-06
Sample 88: No. iterations = 112, Error = 0.000232351
Sample 89: No. iterations = 90, Error = 0.000968548
Sample 90: No. iterations = 273, Error = 0.000759949
Sample 91: No. iterations = 162, Error = 0.000244961
Sample 92: No. iterations = 265, Error = 0.000571058
Sample 93: No. iterations = 112, Error = 0.000316128
Sample 94: No. iterations = 1, Error = 0.000308307
Sample 95: No. iterations = 138, Error = 0.000149599
Sample 96: No. iterations = 116, Error = 0.000382057
Sample 97: No. iterations = 130, Error = 8.1211e-05
Sample 98: No. iterations = 57, Error = 0.000308532
Sample 99: No. iterations = 49, Error = 0.000613843
Sample 100: No. iterations = 225, Error = 0.000610726
Sample 101: No. iterations = 550, Error = 0.50001
Sample 102: No. iterations = 41, Error = 0.000139288
Sample 103: No. iterations = 4, Error = 0.000520966
Sample 104: No. iterations = 5, Error = 0.000908075
Sample 105: No. iterations = 136, Error = 0.000101817
Sample 106: No. iterations = 2, Error = 0.000920149
Sample 107: No. iterations = 92, Error = 8.69155e-05
Sample 108: No. iterations = 82, Error = 0.000188235
Sample 109: No. iterations = 96, Error = 0.000719943
Sample 110: No. iterations = 538, Error = 0.000325022
Sample 111: No. iterations = 550, Error = 0.275194
Sample 112: No. iterations = 79, Error = 3.10383e-05
Sample 113: No. iterations = 5, Error = 0.000714359
Sample 114: No. iterations = 1, Error = 0.000193299
Sample 115: No. iterations = 8, Error = 0.000501908
Sample 116: No. iterations = 155, Error = 0.000172252
Sample 117: No. iterations = 193, Error = 0.000177203
Sample 118: No. iterations = 48, Error = 0.000863877
Sample 119: No. iterations = 60, Error = 0.000357043
Sample 120: No. iterations = 2, Error = 0.000872696
Sample 121: No. iterations = 199, Error = 0.000106519
Sample 122: No. iterations = 96, Error = 0.000382946
Sample 123: No. iterations = 213, Error = 0.000993141
Sample 124: No. iterations = 169, Error = 0.000240304
Sample 125: No. iterations = 251, Error = 0.000918851
Sample 126: No. iterations = 102, Error = 0.000661122
Sample 127: No. iterations = 90, Error = 0.000832034
Sample 128: No. iterations = 51, Error = 0.000648866
Sample 129: No. iterations = 8, Error = 0.000876223
Sample 130: No. iterations = 110, Error = 0.000666452
Sample 131: No. iterations = 55, Error = 0.000402038
Sample 132: No. iterations = 69, Error = 0.000938105
Sample 133: No. iterations = 550, Error = 0.500229
Sample 134: No. iterations = 212, Error = 0.000370446
Sample 135: No. iterations = 365, Error = 0.000961022
Sample 136: No. iterations = 296, Error = 0.000694797
Sample 137: No. iterations = 5, Error = 0.000539235
Sample 138: No. iterations = 207, Error = 0.00061882
Sample 139: No. iterations = 550, Error = 0.500196
Sample 140: No. iterations = 58, Error = 0.000132404
Sample 141: No. iterations = 550, Error = 0.502069
Sample 142: No. iterations = 210, Error = 0.000661119
Sample 143: No. iterations = 57, Error = 0.000202901
Sample 144: No. iterations = 424, Error = 0.000910469
Sample 145: No. iterations = 162, Error = 0.000896614
Sample 146: No. iterations = 148, Error = 0.000213321
Sample 147: No. iterations = 77, Error = 5.6656e-05
Sample 148: No. iterations = 99, Error = 0.000520638
Sample 149: No. iterations = 386, Error = 0.000456792
Sample 150: No. iterations = 148, Error = 0.000247215
Sample 151: No. iterations = 254, Error = 0.000635636
Sample 152: No. iterations = 48, Error = 0.000147107
Sample 153: No. iterations = 58, Error = 0.000143648
Sample 154: No. iterations = 70, Error = 0.000631394
Sample 155: No. iterations = 221, Error = 0.000456741
Sample 156: No. iterations = 43, Error = 0.000840862
Sample 157: No. iterations = 66, Error = 0.000534556
Sample 158: No. iterations = 5, Error = 0.000335131
Sample 159: No. iterations = 171, Error = 0.000334927
Sample 160: No. iterations = 71, Error = 0.000858781
Sample 161: No. iterations = 386, Error = 0.000915094
Sample 162: No. iterations = 76, Error = 0.0003767
Sample 163: No. iterations = 57, Error = 0.000231749
Sample 164: No. iterations = 97, Error = 0.000708984
Sample 165: No. iterations = 48, Error = 0.000178134
Sample 166: No. iterations = 20, Error = 2.42168e-05
Sample 167: No. iterations = 53, Error = 0.000786558
Sample 168: No. iterations = 72, Error = 0.000412738
Sample 169: No. iterations = 278, Error = 0.000946979
Sample 170: No. iterations = 233, Error = 0.000873663
Sample 171: No. iterations = 49, Error = 0.000988233
Sample 172: No. iterations = 76, Error = 0.000122943
Sample 173: No. iterations = 214, Error = 4.70733e-05
Sample 174: No. iterations = 132, Error = 0.000611869
Sample 175: No. iterations = 126, Error = 0.000547549
Sample 176: No. iterations = 101, Error = 0.000908018
Sample 177: No. iterations = 17, Error = 0.000613952
Sample 178: No. iterations = 49, Error = 2.78266e-05
Sample 179: No. iterations = 192, Error = 0.000255363
Sample 180: No. iterations = 75, Error = 0.000137218
Sample 181: No. iterations = 88, Error = 0.000972244
Sample 182: No. iterations = 125, Error = 3.82512e-06
Sample 183: No. iterations = 522, Error = 3.08258e-05
Sample 184: No. iterations = 58, Error = 0.000386183
Sample 185: No. iterations = 83, Error = 0.000109907
Sample 186: No. iterations = 101, Error = 0.000533488
Sample 187: No. iterations = 52, Error = 0.000875396
Sample 188: No. iterations = 57, Error = 0.000879425
Sample 189: No. iterations = 282, Error = 0.00089142
Sample 190: No. iterations = 85, Error = 0.000957535
Sample 191: No. iterations = 58, Error = 0.000677569
Sample 192: No. iterations = 10, Error = 0.000192299
Sample 193: No. iterations = 135, Error = 0.00041552
Sample 194: No. iterations = 98, Error = 0.000419544
Sample 195: No. iterations = 71, Error = 0.000715075
Sample 196: No. iterations = 41, Error = 0.000408585
Sample 197: No. iterations = 35, Error = 0.000673893
Sample 198: No. iterations = 1, Error = 0.000314141
Sample 199: No. iterations = 156, Error = 0.000853461
Sample 200: No. iterations = 49, Error = 0.00081163
Sample 201: No. iterations = 87, Error = 0.000607616
Sample 202: No. iterations = 105, Error = 0.00061041
Sample 203: No. iterations = 161, Error = 0.000386136
Sample 204: No. iterations = 60, Error = 0.00077289
Sample 205: No. iterations = 157, Error = 0.00086629
Sample 206: No. iterations = 142, Error = 0.000284487
Sample 207: No. iterations = 28, Error = 0.00063013
Sample 208: No. iterations = 67, Error = 0.000381888
Sample 209: No. iterations = 1, Error = 0.000653571
Sample 210: No. iterations = 5, Error = 0.000218967
Sample 211: No. iterations = 2, Error = 0.000736969
Sample 212: No. iterations = 1, Error = 0.000744068
Sample 213: No. iterations = 191, Error = 0.000485563
Sample 214: No. iterations = 50, Error = 0.000434969
